編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2016/11/1 下午 12:41:00,121.59,23.77,37,3.9,花蓮縣政府南方  25.1  公里 (位於花蓮縣近海)
105099   ,2016/10/29 下午 07:49:00,121.63,24.18,30.1,4.3,花蓮縣政府北方  21.4  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/29 下午 02:44:00,121.56,24.73,29.6,3.6,宜蘭縣政府西方  20.2  公里 (位於新北市烏來區)
小區域,2016/10/29 下午 02:08:00,121.73,24.39,18.6,3.6,宜蘭縣政府南方  38.2  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/26 下午 03:07:00,120.63,23.54,15.9,3.6,嘉義市政府東偏北方  19.2  公里 (位於嘉義縣梅山鄉)
小區域,2016/10/26 上午 02:14:00,121.48,23.96,19.1,3.3,花蓮縣政府西偏南方  14.3  公里 (位於花蓮縣秀林鄉)
105098   ,2016/10/25 下午 12:45:00,121.41,22.61,19.4,5.2,臺東縣政府東偏南方  30.6  公里 (位於臺灣東部海域)
小區域,2016/10/25 上午 04:45:00,122.13,24.06,31.6,4.2,花蓮縣政府東方  52.4  公里 (位於臺灣東部海域)
小區域,2016/10/24 下午 01:26:00,121.64,24.13,9.4,3.7,花蓮縣政府北方  15.9  公里 (位於花蓮縣新城鄉)
小區域,2016/10/24 上午 05:32:00,121.79,24.14,34.1,4,花蓮縣政府東北方  24.1  公里 (位於臺灣東部海域)
小區域,2016/10/23 上午 01:10:00,121.77,24.41,5,3.2,宜蘭縣政府南方  36.0  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/22 上午 07:17:00,121.5,23.98,20.6,3.4,花蓮縣政府西方  12.8  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/22 上午 02:13:00,121.48,23.96,20.7,3.9,花蓮縣政府西方  14.7  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/20 下午 11:40:00,121.66,24.15,11.2,3.9,花蓮縣政府北偏東方  18.0  公里 (位於花蓮縣近海)
小區域,2016/10/20 上午 06:31:00,121.62,24.14,12.4,3.5,花蓮縣政府北方  16.2  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/19 上午 08:29:00,121.66,24.13,17.3,3.7,花蓮縣政府北偏東方  15.6  公里 (位於花蓮縣近海)
小區域,2016/10/17 下午 05:24:00,121.35,23.16,20.6,3.9,臺東縣政府北偏東方  49.5  公里 (位於臺東縣成功鎮)
小區域,2016/10/17 下午 02:31:00,120.62,22.99,20.8,3.9,屏東縣政府北偏東方  36.8  公里 (位於高雄市六龜區)
小區域,2016/10/16 下午 09:25:00,121.35,23.18,22.8,4,臺東縣政府北偏東方  51.5  公里 (位於臺東縣成功鎮)
小區域,2016/10/15 上午 01:49:00,121.74,24.4,12.9,3.4,宜蘭縣政府南方  36.4  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/14 上午 04:45:00,121.74,23.83,53.5,4.5,花蓮縣政府東南方  21.2  公里 (位於臺灣東部海域)
小區域,2016/10/11 上午 04:18:00,121.53,23.07,15.4,4.4,臺東縣政府東北方  52.6  公里 (位於臺灣東部海域)
小區域,2016/10/10 下午 07:12:00,121.44,23.93,18.3,3.5,花蓮縣政府西偏南方  19.3  公里 (位於花蓮縣秀林鄉)
小區域,2016/10/10 下午 02:28:00,120.71,23.58,6.3,2.9,雲林縣政府東南方  22.8  公里 (位於雲林縣古坑鄉)
小區域,2016/10/9 下午 10:32:00,121.8,24.48,21.5,3.5,宜蘭縣政府南方  27.6  公里 (位於宜蘭縣南澳鄉)
小區域,2016/10/9 下午 03:42:00,121.62,24.62,53,4.1,宜蘭縣政府西南方  19.0  公里 (位於宜蘭縣大同鄉)
小區域,2016/10/7 下午 03:55:00,121.85,24.81,93.9,4.3,宜蘭縣政府東北方  12.4  公里 (位於宜蘭縣近海)
105097   ,2016/10/6 下午 11:51:00,121.4,22.61,20,6,臺東縣政府東偏南方  30.8  公里 (位於臺灣東部海域)
105096   ,2016/10/4 下午 02:29:00,121.4,22.18,19.6,4.8,臺東縣政府南偏東方  68.5  公里 (位於臺灣東部海域)
小區域,2016/9/30 下午 07:50:00,121.53,23.19,36.6,3.4,臺東縣政府東北方  61.9  公里 (位於臺灣東部海域)
105095   ,2016/9/30 下午 07:35:00,120.51,23.11,15.4,4.2,臺南市政府東偏北方  35.4  公里 (位於臺南市南化區)
小區域,2016/9/28 下午 06:17:00,121.74,24.38,13.5,3.4,宜蘭縣政府南方  38.8  公里 (位於宜蘭縣南澳鄉)
105094   ,2016/9/28 下午 05:38:00,122.75,24.45,96.9,5.5,宜蘭縣政府東偏南方  105.1  公里 (位於臺灣東部海域)
小區域,2016/9/28 上午 10:03:00,120.57,23.43,6.2,3.1,嘉義市政府東偏南方  13.6  公里 (位於嘉義縣中埔鄉)
小區域,2016/9/26 下午 12:33:00,121.62,24.35,23.4,3.6,花蓮縣政府北方  39.6  公里 (位於宜蘭縣南澳鄉)
小區域,2016/9/26 上午 11:58:00,121.63,24.35,23,3.6,花蓮縣政府北方  39.7  公里 (位於宜蘭縣南澳鄉)
105093   ,2016/9/24 下午 05:36:00,121.51,24.11,19.2,4.2,花蓮縣政府西北方  16.6  公里 (位於花蓮縣秀林鄉)
小區域,2016/9/24 上午 05:22:00,121.74,24.04,37.8,3.5,花蓮縣政府東偏北方  13.4  公里 (位於臺灣東部海域)
小區域,2016/9/23 上午 02:23:00,122.59,24.65,107.4,4.1,宜蘭縣政府東方  83.8  公里 (位於臺灣東部海域)
小區域,2016/9/22 上午 09:14:00,121.7,23.84,26.1,3.3,花蓮縣政府南偏東方  18.4  公里 (位於臺灣東部海域)
小區域,2016/9/17 上午 04:07:00,121.3,23.44,23.6,3.5,花蓮縣政府南偏西方  69.5  公里 (位於花蓮縣卓溪鄉)
小區域,2016/9/16 下午 09:22:00,121.67,23.38,13.5,3.3,花蓮縣政府南方  68.3  公里 (位於臺灣東部海域)
小區域,2016/9/16 下午 01:30:00,120.6,23.62,4.6,2.7,雲林縣政府東南方  11.6  公里 (位於雲林縣古坑鄉)
小區域,2016/9/16 下午 12:49:00,120.59,23.62,4.5,2.9,雲林縣政府東南方  11.5  公里 (位於雲林縣古坑鄉)
小區域,2016/9/16 上午 06:46:00,120.57,23.55,10.3,3.3,嘉義市政府東偏北方  14.2  公里 (位於嘉義縣梅山鄉)
小區域,2016/9/12 下午 11:13:00,121.01,24.7,9.5,2.2,新竹市政府南偏東方  12.4  公里 (位於新竹縣峨眉鄉)
小區域,2016/9/12 下午 11:02:00,121.02,24.7,9,3,新竹市政府南偏東方  12.4  公里 (位於新竹縣峨眉鄉)
小區域,2016/9/11 下午 08:39:00,121.29,23.46,11.9,3.8,花蓮縣政府南偏西方  67.6  公里 (位於花蓮縣卓溪鄉)
小區域,2016/9/10 上午 03:29:00,120.55,22.92,14.4,4.3,屏東縣政府北偏東方  27.4  公里 (位於高雄市美濃區)
小區域,2016/9/10 上午 12:54:00,122.1,22.13,40.8,4.9,臺東縣政府東偏南方  119.6  公里 (位於臺灣東部海域)
小區域,2016/9/9 下午 11:18:00,120.55,22.95,15.2,3.9,屏東縣政府北偏東方  30.7  公里 (位於高雄市杉林區)
小區域,2016/9/8 上午 09:08:00,120.28,23.04,15.6,2.6,臺南市政府東偏北方  10.9  公里 (位於臺南市新化區)
小區域,2016/9/8 上午 03:13:00,122.16,24.8,10.1,3.8,宜蘭縣政府東方  41.2  公里 (位於臺灣東部海域)
小區域,2016/9/8 上午 01:14:00,120.27,23.04,16.1,2.7,臺南市政府東偏北方  9.9  公里 (位於臺南市永康區)
小區域,2016/9/7 下午 03:13:00,121.76,24.32,6.3,3,花蓮縣政府北偏東方  39.5  公里 (位於宜蘭縣南澳鄉)
小區域,2016/9/7 上午 09:48:00,121.46,23.91,18.2,3.5,花蓮縣政府西偏南方  18.0  公里 (位於花蓮縣秀林鄉)
小區域,2016/9/6 上午 07:09:00,120.95,23.17,6.3,2.9,臺東縣政府北偏西方  50.7  公里 (位於臺東縣海端鄉)
105092   ,2016/9/5 上午 10:02:00,121.58,24.74,78,3.7,宜蘭縣政府西方  18.9  公里 (位於新北市烏來區)
小區域,2016/9/4 上午 11:28:00,121.88,24.45,14.4,3.4,宜蘭縣政府南偏東方  33.0  公里 (位於宜蘭縣近海)
小區域,2016/9/3 上午 09:57:00,120.53,23.18,4.2,3,嘉義市政府南偏東方  34.6  公里 (位於臺南市楠西區)
小區域,2016/9/3 上午 07:21:00,120.97,24.77,3.9,1.9,新竹市政府南方  4.1  公里 (位於新竹市東區)
小區域,2016/9/2 上午 10:24:00,121.56,23.82,15.6,3,花蓮縣政府南偏西方  19.5  公里 (位於花蓮縣壽豐鄉)
小區域,2016/9/1 上午 12:47:00,121.96,24.46,18.1,3.4,宜蘭縣政府東南方  35.9  公里 (位於臺灣東部海域)
105091   ,2016/9/1 上午 12:28:00,121.97,24.46,18,4.9,宜蘭縣政府東南方  36.8  公里 (位於臺灣東部海域)
小區域,2016/8/30 下午 07:43:00,121.61,24.33,24.9,3.2,花蓮縣政府北方  37.0  公里 (位於花蓮縣秀林鄉)
小區域,2016/8/30 上午 09:43:00,120.6,23.5,14.4,3.8,嘉義市政府東方  15.1  公里 (位於嘉義縣竹崎鄉)
小區域,2016/8/29 上午 07:44:00,120.93,22.85,8.4,3.1,臺東縣政府西偏北方  24.6  公里 (位於臺東縣延平鄉)
小區域,2016/8/28 下午 10:15:00,120.84,23.6,7.2,3.4,雲林縣政府東偏南方  33.5  公里 (位於南投縣信義鄉)
小區域,2016/8/28 上午 05:39:00,121.76,24.24,27.1,3.1,花蓮縣政府北偏東方  30.8  公里 (位於花蓮縣近海)
小區域,2016/8/28 上午 12:03:00,121.33,24.87,13.3,2.5,桃園市政府南偏東方  14.4  公里 (位於桃園市大溪區)
小區域,2016/8/26 下午 06:46:00,121.62,23.94,42.6,4.1,花蓮縣政府南方  5.6  公里 (位於花蓮縣近海)
小區域,2016/8/25 下午 06:27:00,121.59,23.79,30.6,3.6,花蓮縣政府南方  22.0  公里 (位於花蓮縣近海)
105090   ,2016/8/25 下午 03:13:00,121.7,24.27,28.7,4.4,花蓮縣政府北偏東方  31.8  公里 (位於花蓮縣秀林鄉)
小區域,2016/8/25 上午 02:08:00,121.92,24.46,16,3.2,宜蘭縣政府南偏東方  34.3  公里 (位於臺灣東部海域)
小區域,2016/8/23 上午 07:26:00,122.85,24.3,33.7,4.9,宜蘭縣政府東偏南方  120.2  公里 (位於臺灣東部海域)
小區域,2016/8/23 上午 03:08:00,120.94,22.86,6.8,4.4,臺東縣政府西偏北方  24.3  公里 (位於臺東縣延平鄉)
小區域,2016/8/23 上午 12:05:00,121.72,23.82,21.5,3.4,花蓮縣政府南偏東方  21.0  公里 (位於臺灣東部海域)
小區域,2016/8/22 下午 09:40:00,121.73,24.42,30.9,3.8,宜蘭縣政府南方  35.0  公里 (位於宜蘭縣南澳鄉)
小區域,2016/8/20 下午 04:56:00,120.73,23.18,4.1,3.6,嘉義市政府東南方  43.4  公里 (位於高雄市桃源區)
小區域,2016/8/19 下午 11:36:00,120.94,22.86,8,3.3,臺東縣政府西偏北方  24.2  公里 (位於臺東縣延平鄉)
小區域,2016/8/19 下午 03:38:00,120.8,23.34,6.1,3.8,嘉義市政府東偏南方  38.9  公里 (位於高雄市那瑪夏區)
小區域,2016/8/18 下午 10:05:00,121.38,22.07,86.7,4.2,臺東縣政府南偏東方  79.5  公里 (位於臺灣東部海域)
小區域,2016/8/15 下午 11:44:00,122.11,24.8,13.4,3.7,宜蘭縣政府東偏北方  35.7  公里 (位於臺灣東部海域)
小區域,2016/8/15 下午 07:14:00,121.88,24.47,17.6,2.9,宜蘭縣政府南偏東方  31.4  公里 (位於宜蘭縣近海)
小區域,2016/8/14 下午 06:20:00,121.49,23.23,44.5,3.8,臺東縣政府東北方  63.1  公里 (位於臺東縣近海)
小區域,2016/8/12 下午 09:35:00,122.14,24.83,95.8,4.6,宜蘭縣政府東偏北方  39.4  公里 (位於臺灣東部海域)
小區域,2016/8/12 下午 07:42:00,121.57,25.14,5.7,3.1,臺北市政府北方  10.8  公里 (位於臺北市士林區)
小區域,2016/8/10 上午 01:10:00,120.46,23.26,8.9,3.3,嘉義市政府南方  24.5  公里 (位於臺南市東山區)
小區域,2016/8/7 上午 11:55:00,121.45,23.93,19.7,2.8,花蓮縣政府西偏南方  18.8  公里 (位於花蓮縣秀林鄉)
105089   ,2016/8/4 上午 12:16:00,121.76,24.2,15.9,3.5,花蓮縣政府北偏東方  26.8  公里 (位於臺灣東部海域)
小區域,2016/8/1 下午 09:49:00,120.77,23.12,1.6,3,嘉義市政府東南方  51.2  公里 (位於高雄市桃源區)
小區域,2016/7/30 上午 04:32:00,121.73,24.18,32.3,3.8,花蓮縣政府北偏東方  23.7  公里 (位於花蓮縣近海)
小區域,2016/7/30 上午 12:08:00,121.37,23.22,18.6,3.2,臺東縣政府北偏東方  56.0  公里 (位於臺東縣成功鎮)
小區域,2016/7/29 下午 05:24:00,121.71,24.19,13,3.1,花蓮縣政府北偏東方  23.7  公里 (位於花蓮縣近海)
小區域,2016/7/29 下午 12:32:00,120.33,23.46,8.5,2.7,嘉義縣政府東方  3.9  公里 (位於嘉義縣太保市)
小區域,2016/7/29 上午 10:34:00,121.48,21.99,15.5,2.8,臺東縣政府南偏東方  91.6  公里 (位於臺灣東南部海域)
小區域,2016/7/28 下午 03:41:00,121.7,24.19,11.7,3,花蓮縣政府北偏東方  23.4  公里 (位於花蓮縣近海)
小區域,2016/7/27 下午 12:34:00,120.96,22.6,13,3.5,臺東縣政府西南方  26.2  公里 (位於臺東縣金峰鄉)
105088   ,2016/7/27 下午 12:02:00,121.75,24.27,7.7,4.8,花蓮縣政府北偏東方  33.4  公里 (位於花蓮縣近海)
小區域,2016/7/24 上午 12:41:00,120.97,23.78,15,3.4,南投縣政府東偏南方  31.4  公里 (位於南投縣信義鄉)
小區域,2016/7/23 下午 01:32:00,121.71,24.19,11.3,3.3,花蓮縣政府北偏東方  23.3  公里 (位於花蓮縣近海)
小區域,2016/7/23 上午 06:30:00,121.87,24.19,48.2,3.7,花蓮縣政府東北方  33.3  公里 (位於臺灣東部海域)
小區域,2016/7/22 下午 09:43:00,121.92,24.45,7.3,3.4,宜蘭縣政府南偏東方  34.6  公里 (位於臺灣東部海域)
小區域,2016/7/22 上午 05:59:00,121.69,23.73,45.6,4,花蓮縣政府南偏東方  30.2  公里 (位於臺灣東部海域)
105087   ,2016/7/20 下午 08:55:00,120.99,24.14,38,4.5,臺中市政府東方  31.2  公里 (位於臺中市和平區)
小區域,2016/7/19 下午 06:39:00,121.07,22.12,10.7,4.2,臺東縣政府南方  70.9  公里 (位於臺灣東部海域)
小區域,2016/7/19 下午 06:29:00,121.09,22.09,19.1,4,臺東縣政府南方  74.1  公里 (位於臺灣東部海域)
小區域,2016/7/18 上午 09:38:00,121.76,24.36,19.8,3,宜蘭縣政府南方  40.7  公里 (位於宜蘭縣南澳鄉)
小區域,2016/7/17 下午 09:34:00,121.8,24.39,9.2,3.8,宜蘭縣政府南方  37.8  公里 (位於宜蘭縣近海)
小區域,2016/7/16 下午 04:52:00,120.55,23.5,6.6,2.3,嘉義市政府東偏北方  10.0  公里 (位於嘉義縣竹崎鄉)
小區域,2016/7/16 上午 11:06:00,121.73,24.37,16.3,3.3,宜蘭縣政府南方  40.6  公里 (位於宜蘭縣南澳鄉)
小區域,2016/7/16 上午 10:42:00,121.75,24.36,18.9,3.9,宜蘭縣政府南方  41.1  公里 (位於宜蘭縣南澳鄉)
105086   ,2016/7/16 上午 10:35:00,121.75,24.36,19.6,4.2,宜蘭縣政府南方  40.8  公里 (位於宜蘭縣南澳鄉)
105085   ,2016/7/16 上午 09:19:00,120.87,24.73,9.7,3.9,新竹市政府西南方  13.0  公里 (位於苗栗縣竹南鎮)
105084   ,2016/7/14 上午 11:32:00,121.36,23.16,17.9,4.4,臺東縣政府北偏東方  50.0  公里 (位於臺東縣成功鎮)
小區域,2016/7/13 下午 05:04:00,120.3,22.1,41.5,4.2,高雄市政府南方  58.1  公里 (位於臺灣西部海域)
小區域,2016/7/13 上午 01:41:00,121.7,24.23,12,3.3,花蓮縣政府北偏東方  27.2  公里 (位於花蓮縣秀林鄉)
小區域,2016/7/13 上午 01:40:00,120.82,23.76,21.2,3.1,南投縣政府東南方  20.9  公里 (位於南投縣鹿谷鄉)
小區域,2016/7/10 下午 10:32:00,121.62,24.63,54,3.8,宜蘭縣政府西南方  18.0  公里 (位於宜蘭縣大同鄉)
小區域,2016/7/9 下午 07:12:00,121.29,23.27,22.7,3.8,臺東縣政府北偏東方  58.5  公里 (位於花蓮縣富里鄉)
小區域,2016/7/2 下午 01:12:00,121.5,24.03,13.5,2.8,花蓮縣政府西偏北方  13.4  公里 (位於花蓮縣秀林鄉)
小區域,2016/7/2 上午 07:26:00,121.65,24.06,9.9,3.3,花蓮縣政府北偏東方  8.2  公里 (位於花蓮縣近海)
小區域,2016/7/1 下午 04:23:00,122.31,24.05,26.8,4.8,花蓮縣政府東方  70.3  公里 (位於臺灣東部海域)
小區域,2016/7/1 上午 09:52:00,121.77,24.26,7.3,3.5,花蓮縣政府北偏東方  33.6  公里 (位於花蓮縣近海)
小區域,2016/7/1 上午 06:41:00,121.82,24.46,13.4,2.6,宜蘭縣政府南方  30.0  公里 (位於宜蘭縣近海)
小區域,2016/6/30 上午 04:50:00,120.09,22.99,18.2,3.7,臺南市政府西方  9.8  公里 (位於臺南市近海)
105083   ,2016/6/29 下午 10:37:00,121.74,24.21,10.9,3.9,花蓮縣政府北偏東方  27.5  公里 (位於花蓮縣近海)
小區域,2016/6/29 下午 10:30:00,121.73,24.22,10.4,3.7,花蓮縣政府北偏東方  28.0  公里 (位於花蓮縣近海)
小區域,2016/6/27 下午 11:44:00,121.58,24.17,20.7,3.3,花蓮縣政府北偏西方  20.1  公里 (位於花蓮縣秀林鄉)
小區域,2016/6/27 下午 09:47:00,121.99,24.37,19.9,3.3,宜蘭縣政府南偏東方  46.1  公里 (位於臺灣東部海域)
小區域,2016/6/27 下午 07:31:00,121.65,23.89,46,3.5,花蓮縣政府南偏東方  11.3  公里 (位於花蓮縣近海)
小區域,2016/6/26 下午 07:24:00,121.27,22.92,17.5,3.7,臺東縣政府東北方  22.4  公里 (位於臺東縣近海)
小區域,2016/6/26 下午 07:07:00,121.27,22.93,16,3.7,臺東縣政府北偏東方  23.0  公里 (位於臺東縣東河鄉)
小區域,2016/6/26 下午 05:17:00,121.28,22.93,16.1,3.9,臺東縣政府東北方  24.2  公里 (位於臺東縣近海)
小區域,2016/6/26 下午 05:16:00,121.27,22.93,16.4,3.9,臺東縣政府東北方  22.5  公里 (位於臺東縣東河鄉)
小區域,2016/6/25 上午 12:44:00,120.65,22.86,17.3,3.8,屏東縣政府東北方  26.1  公里 (位於屏東縣三地門鄉)
小區域,2016/6/24 下午 01:34:00,120.54,22.91,15.9,3.8,屏東縣政府北偏東方  25.6  公里 (位於高雄市美濃區)
105082   ,2016/6/24 上午 05:05:00,123.42,23.53,47,6.1,花蓮縣政府東偏南方  190.4  公里 (位於臺灣東部海域)
小區域,2016/6/23 下午 10:17:00,121.44,23.83,21,3.8,花蓮縣政府西南方  25.4  公里 (位於花蓮縣秀林鄉)
小區域,2016/6/23 上午 04:50:00,121.75,24.21,11.8,3.4,花蓮縣政府北偏東方  27.9  公里 (位於花蓮縣近海)
小區域,2016/6/23 上午 12:19:00,120.59,22.43,21.9,3.5,屏東縣政府南偏東方  29.9  公里 (位於屏東縣枋寮鄉)
小區域,2016/6/22 下午 10:26:00,121.51,24.05,16.9,2.7,花蓮縣政府西偏北方  12.8  公里 (位於花蓮縣秀林鄉)
小區域,2016/6/22 下午 06:57:00,121.67,24.06,7.4,3,花蓮縣政府東北方  9.4  公里 (位於花蓮縣近海)
小區域,2016/6/20 下午 03:56:00,120.95,24.1,23,3.3,臺中市政府東方  28.1  公里 (位於南投縣仁愛鄉)
105081   ,2016/6/20 下午 03:53:00,121.89,24.88,106.9,4.7,宜蘭縣政府東北方  21.4  公里 (位於宜蘭縣近海)
105080   ,2016/6/20 上午 08:39:00,121.53,23.16,39.4,5.1,臺東縣政府東北方  59.8  公里 (位於臺灣東部海域)
105079   ,2016/6/19 上午 06:58:00,121,23.17,5.9,3.7,臺東縣政府北偏西方  48.9  公里 (位於臺東縣海端鄉)
小區域,2016/6/18 下午 12:45:00,121.88,24.57,9.7,3.3,宜蘭縣政府東南方  21.2  公里 (位於宜蘭縣近海)
小區域,2016/6/18 上午 11:11:00,121.89,24.57,9,3.8,宜蘭縣政府東南方  21.4  公里 (位於宜蘭縣近海)
小區域,2016/6/17 下午 05:30:00,121.64,24.14,10.5,2.1,花蓮縣政府北方  16.5  公里 (位於花蓮縣秀林鄉)
小區域,2016/6/17 上午 05:52:00,120.1,23,17.1,3.2,臺南市政府西方  8.4  公里 (位於臺南市近海)
小區域,2016/6/17 上午 05:45:00,120.1,23,16.5,3,臺南市政府西方  8.7  公里 (位於臺南市近海)
小區域,2016/6/17 上午 04:37:00,121.88,24.57,11,3.5,宜蘭縣政府東南方  21.1  公里 (位於宜蘭縣近海)
小區域,2016/6/16 下午 09:19:00,121.47,23.1,11.2,3.3,臺東縣政府東北方  50.1  公里 (位於臺東縣近海)
小區域,2016/6/16 上午 01:12:00,121.42,23.73,21.2,3.2,花蓮縣政府西南方  36.0  公里 (位於花蓮縣萬榮鄉)
小區域,2016/6/15 下午 10:52:00,121,23.19,5.4,3.5,臺東縣政府北偏西方  50.2  公里 (位於臺東縣海端鄉)
小區域,2016/6/14 下午 09:54:00,121.9,24.01,39.4,4.4,花蓮縣政府東方  29.0  公里 (位於臺灣東部海域)
105078   ,2016/6/14 下午 05:40:00,121.4,23.74,21.1,4.2,花蓮縣政府西南方  36.0  公里 (位於花蓮縣萬榮鄉)
小區域,2016/6/14 上午 09:08:00,121.83,24.46,6.6,2.9,宜蘭縣政府南偏東方  31.1  公里 (位於宜蘭縣近海)
小區域,2016/6/12 下午 11:28:00,120.59,23.11,10.3,3.3,嘉義市政府南偏東方  43.1  公里 (位於高雄市甲仙區)
小區域,2016/6/11 下午 03:41:00,121.72,24.17,13.8,3.6,花蓮縣政府北偏東方  21.7  公里 (位於花蓮縣近海)
小區域,2016/6/10 上午 05:15:00,121.62,24,8.8,3.6,花蓮縣政府北偏東方  1.3  公里 (位於花蓮縣花蓮市)
小區域,2016/6/5 上午 05:41:00,121.67,24.14,10.7,4.1,花蓮縣政府北偏東方  16.9  公里 (位於花蓮縣近海)
小區域,2016/6/5 上午 05:25:00,121.66,24.14,10.8,3.8,花蓮縣政府北偏東方  17.0  公里 (位於花蓮縣近海)
小區域,2016/6/5 上午 05:25:00,121.67,24.14,10.5,4,花蓮縣政府北偏東方  17.2  公里 (位於花蓮縣近海)
小區域,2016/6/4 上午 06:49:00,120.97,23.11,3.1,3.1,臺東縣政府北偏西方  43.7  公里 (位於臺東縣海端鄉)
小區域,2016/6/4 上午 12:01:00,121.68,24.08,6.1,4,花蓮縣政府北偏東方  11.9  公里 (位於花蓮縣近海)
小區域,2016/6/2 下午 06:36:00,120.41,23.43,9.7,2.7,嘉義市政府西南方  7.0  公里 (位於嘉義縣水上鄉)
小區域,2016/6/1 上午 01:31:00,121.67,24.15,11.4,3.6,花蓮縣政府北偏東方  18.6  公里 (位於花蓮縣近海)
小區域,2016/6/1 上午 12:17:00,121.7,24.14,10.1,3.3,花蓮縣政府北偏東方  18.6  公里 (位於花蓮縣近海)
105077   ,2016/5/31 下午 01:23:00,122.68,25.49,256.9,6.9,基隆市政府東偏北方  102.5  公里
小區域,2016/5/31 上午 01:50:00,122.53,24.2,50.8,4.9,花蓮縣政府東偏北方  95.8  公里 (位於臺灣東部海域)
小區域,2016/5/30 下午 08:14:00,121.73,24.18,11.9,3,花蓮縣政府北偏東方  23.8  公里 (位於花蓮縣近海)
105076   ,2016/5/30 上午 10:52:00,121.72,24.17,13.7,4.7,花蓮縣政府北偏東方  21.9  公里
小區域,2016/5/30 上午 06:09:00,121.35,23.12,18.4,4,臺東縣政府北偏東方  45.5  公里 (位於臺東縣成功鎮)
105075   ,2016/5/30 上午 01:48:00,121.03,23.08,4.5,3,臺東縣政府北偏西方  38.4  公里 (位於臺東縣海端鄉)
小區域,2016/5/29 下午 04:47:00,121.62,24.01,8.5,3.1,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)
小區域,2016/5/29 下午 04:45:00,120.92,23.21,0.6,3.5,臺東縣政府北偏西方  55.9  公里 (位於臺東縣海端鄉)
小區域,2016/5/29 下午 01:00:00,121.75,24.32,13.6,3.6,花蓮縣政府北偏東方  38.5  公里 (位於宜蘭縣南澳鄉)
小區域,2016/5/28 下午 11:03:00,121.76,24.2,10.9,3.6,花蓮縣政府東北方  27.0  公里 (位於臺灣東部海域)
小區域,2016/5/27 下午 04:22:00,121.61,23.8,31.1,3.7,花蓮縣政府南方  20.7  公里 (位於花蓮縣近海)
小區域,2016/5/26 下午 09:44:00,120.41,23.23,12.2,3.4,嘉義縣政府南偏東方  27.7  公里 (位於臺南市六甲區)
小區域,2016/5/26 下午 09:42:00,121.25,22.95,12.9,3.3,臺東縣政府北偏東方  23.4  公里 (位於臺東縣東河鄉)
小區域,2016/5/26 下午 08:42:00,120.8,23.07,5.7,3.2,臺東縣政府西北方  50.5  公里 (位於高雄市桃源區)
105074   ,2016/5/26 下午 03:17:00,121.76,24.19,12.4,3.6,花蓮縣政府東北方  26.2  公里
小區域,2016/5/25 下午 09:54:00,120.48,22.01,52,4.5,高雄市政府南偏東方  70.1  公里
小區域,2016/5/25 下午 12:51:00,121.06,23.98,23,3.5,南投縣政府東偏北方  38.2  公里 (位於南投縣仁愛鄉)
小區域,2016/5/25 上午 04:17:00,120.31,23.5,8,3.7,嘉義縣政府北偏東方  4.6  公里 (位於嘉義縣六腳鄉)
小區域,2016/5/25 上午 12:06:00,121.66,24.14,12.1,3.4,花蓮縣政府北偏東方  17.6  公里 (位於花蓮縣近海)
小區域,2016/5/24 下午 12:42:00,121.63,24.01,9.8,3.2,花蓮縣政府北偏東方  2.7  公里 (位於花蓮縣花蓮市)
小區域,2016/5/24 上午 07:06:00,121.8,24.15,20.1,3.5,花蓮縣政府東北方  26.0  公里 (位於臺灣東部海域)
小區域,2016/5/23 上午 05:07:00,121.69,24.2,12.5,3.3,花蓮縣政府北偏東方  24.1  公里 (位於花蓮縣近海)
小區域,2016/5/23 上午 02:36:00,121.6,24.03,8.4,3.7,花蓮縣政府西北方  4.7  公里 (位於花蓮縣新城鄉)
105073   ,2016/5/22 上午 10:06:00,120.6,22.9,16.9,4.8,屏東縣政府北偏東方  26.3  公里 (位於高雄市六龜區)
小區域,2016/5/22 上午 04:56:00,120.6,22.92,14.6,3.8,屏東縣政府北偏東方  28.2  公里 (位於高雄市六龜區)
105072   ,2016/5/22 上午 04:51:00,120.61,22.9,18.1,5.3,屏東縣政府北偏東方  27.3  公里 (位於屏東縣林邊鄉)
小區域,2016/5/22 上午 03:12:00,121.73,24.22,10.6,3,花蓮縣政府北偏東方  27.6  公里 (位於花蓮縣近海)
小區域,2016/5/21 下午 09:14:00,121.75,24.21,11.2,3,花蓮縣政府北偏東方  27.7  公里 (位於花蓮縣近海)
105071   ,2016/5/21 下午 01:47:00,121.71,24.23,10.9,4.5,花蓮縣政府北偏東方  27.7  公里
小區域,2016/5/21 下午 01:40:00,121.7,24.24,9.8,3.8,花蓮縣政府北偏東方  28.3  公里 (位於花蓮縣秀林鄉)
小區域,2016/5/21 上午 07:31:00,121.81,24.34,13.8,3.5,花蓮縣政府北偏東方  43.2  公里 (位於宜蘭縣近海)
