編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2011/6/6 上午 10:36:00,121.47,23.37,27.9,3.4,花蓮縣政府南偏西方  70.2  公里 (位於台東縣近海)
小區域,2011/6/6 上午 10:21:00,121.61,24.02,7.8,3,花蓮縣政府北偏西方  3.2  公里 (位於花蓮縣新城鄉)
小區域,2011/6/5 下午 01:49:00,121.75,24.45,6,2.3,宜蘭縣政府南方  31.6  公里 (位於宜蘭縣南澳鄉)
小區域,2011/6/5 上午 08:25:00,121.78,24.34,14.8,3,花蓮縣政府北偏東方  41.3  公里 (位於宜蘭縣近海)
小區域,2011/6/3 下午 01:11:00,121.47,23.83,8.5,2.5,花蓮縣政府西南方  23.0  公里 (位於花蓮縣壽豐鄉)
100067   ,2011/6/3 上午 02:08:00,120.7,23.59,16.2,4.1,雲林縣政府東偏南方  21.7  公里 (位於雲林縣古坑鄉)
100066   ,2011/6/3 上午 01:07:00,121.34,22.26,22.2,5.2,台東縣政府南偏東方  58.0  公里 (位於台灣東部海域)
小區域,2011/6/2 下午 09:55:00,121.81,24.44,10.8,2.8,宜蘭縣政府南方  32.2  公里 (位於宜蘭縣近海)
小區域,2011/6/2 下午 05:38:00,121.7,24.17,7.4,3.1,花蓮縣政府北偏東方  21.9  公里 (位於花蓮縣近海)
小區域,2011/6/2 上午 09:09:00,120.45,24,22.7,2.9,彰化縣政府西南方  13.0  公里 (位於彰化縣埔鹽鄉)
小區域,2011/5/30 下午 02:45:00,121.6,23.94,6.7,2.8,花蓮縣政府南偏西方  6.1  公里
100065   ,2011/5/30 下午 01:09:00,121.04,22.76,7.3,4.2,台東縣政府西方  11.1  公里
小區域,2011/5/29 下午 11:27:00,121.57,23.95,6.6,2.3,花蓮縣政府西南方  7.0  公里
小區域,2011/5/28 上午 05:23:00,121.8,24.27,9,2.9,花蓮縣政府北偏東方  36.4  公里外海
小區域,2011/5/28 上午 12:02:00,121.75,24.49,67.2,4,宜蘭縣政府南方  26.9  公里
小區域,2011/5/27 上午 07:46:00,121.75,24.29,31.9,4.1,花蓮縣政府北偏東方  35.9  公里外海
小區域,2011/5/25 下午 11:53:00,121.59,23.99,6.1,2.6,花蓮縣政府西方  2.6  公里
小區域,2011/5/25 下午 09:41:00,121.6,24.01,8.6,2.2,花蓮縣政府西北方  2.4  公里
小區域,2011/5/25 下午 08:48:00,121.59,23.68,34.6,3.8,花蓮縣政府南方  34.6  公里外海
小區域,2011/5/25 上午 07:45:00,121.59,24.01,8.4,2.6,花蓮縣政府西偏北方  3.5  公里
100064   ,2011/5/25 上午 02:32:00,121.53,23.45,36.9,4.7,花蓮縣政府南方  60.9  公里外海
小區域,2011/5/24 下午 10:56:00,121.01,24.49,6.4,2.5,苗栗縣政府東偏南方  20.8  公里
小區域,2011/5/24 下午 02:12:00,121.92,24.48,18.7,3.8,宜蘭縣政府南偏東方  32.3  公里外海
小區域,2011/5/24 下午 12:00:00,121.37,23.31,14.6,3.8,花蓮縣政府南偏西方  80.2  公里
100063   ,2011/5/24 上午 03:51:00,121.89,24.73,86.6,4.3,宜蘭縣政府東方  12.8  公里外海
小區域,2011/5/24 上午 02:30:00,121.71,24.11,5.8,3.2,花蓮縣政府東北方  15.7  公里外海
100062   ,2011/5/23 上午 05:08:00,121.06,23.89,19.5,4.4,南投縣政府東方  37.6  公里
100061   ,2011/5/23 上午 05:07:00,121.06,23.88,19.3,4.7,南投縣政府東方  37.7  公里
100060   ,2011/5/22 下午 04:55:00,121.74,24.14,9.6,3.5,花蓮縣政府東北方  20.0  公里外海
小區域,2011/5/22 上午 09:35:00,121.7,24.13,8.4,3.4,花蓮縣政府北偏東方  16.9  公里外海
